period,period_type,revenue_total_usd_m,revenue_us_gov_usd_m,revenue_intl_gov_usd_m,revenue_us_comm_usd_m,revenue_intl_comm_usd_m,revenue_growth_yoy_pct,us_comm_growth_yoy_pct,gross_profit_usd_m,gross_margin_pct,adjusted_operating_income_usd_m,adjusted_operating_margin_pct,net_income_usd_m,net_margin_pct,eps_diluted_usd,customer_count,tcv_usd_m,cash_usd_m,stock_price_approx_usd,market_cap_approx_usd_b,ps_ratio,notes
2019,Annual,743,480,190,40,33,,,,,,-580,,-0.25,,,,,,,"Pre-IPO; heavy losses"
2020,Annual,1092,610,247,92,143,47,,,,-1167,,-0.49,132,,,,,,,"IPO September 2020"
2021,Annual,1542,897,247,254,144,41,,,,-520,,-0.21,237,,2000,,3,,"First year post-IPO"
2022,Annual,1906,1073,393,293,147,24,,,,-374,,-0.15,340,,1700,,7,7,"Challenging year; macro headwinds"
2023,Annual,2229,1220,390,394,225,17,,,,-210,,-0.08,497,,1200,,17,8,"Turned GAAP profitable Q4 2023"
2024,Annual,2870,1317,385,702,466,29,55,2179,76,836,29,462,16,0.18,629,,3500,,28,,"AIP driving US Comm acceleration"
2025Q1,Quarterly,884,373,101,255,155,39,71,706,79.8,310,35,214,24,0.09,,,3900,,,,
2025Q2,Quarterly,1070,407,107,334,222,55,93,856,80,405,38,279,26,0.11,,,4200,,,,
2025Q3,Quarterly,1114,422,114,370,208,63,121,891,80,430,38.6,305,27,0.12,629,1600,4300,,,,"Q3 2025 strong US Comm"
2025Q4,Quarterly,1407,570,148,507,182,70,137,1125,80,540,38.4,,,0.13,711,900,4500,,,,"Record quarter; Q4 2025"
2025,Annual,4475,1372,470,1466,767,56,99,3578,80,1685,38,608,13.6,0.24,711,2760,4500,141,350,78,"FY2025 record; AIP inflection"
2026E,Annual,7209,2000,600,2530,1079,61,115,5767,80,2800,39,,,0.38,,,,,,50,"FY2026 company guidance (61% growth)"
